Last Activity Date,Total Call Count,Resource Account
"2026-06-01T00:00:00",17,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-01T00:00:00",11,"Behr.KT.ServiceCenter@behr.com"
"2026-06-01T00:00:00",12,"Behr-US-SaukVillageServiceCenter@behr.com"
"2026-06-01T00:00:00",3,"Behr-US-RoanokeServiceCenter@behr.com"
"2026-06-02T00:00:00",13,"Behr-US-RoanokeServiceCenter@behr.com"
"2026-06-02T00:00:00",1,"Behr-US-AtlantaServiceCenter@behr.com"
"2026-06-02T00:00:00",10,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-02T00:00:00",7,"Behr.KT.ServiceCenter@behr.com"
"2026-06-02T00:00:00",12,"Behr-US-SaukVillageServiceCenter@behr.com"
"2026-06-02T00:00:00",3,"Behr.Orlando.ServiceCenter@behr.com"
"2026-06-02T00:00:00",1,"Behr-US-AlgonaServiceCenter@behr.com"
"2026-06-03T00:00:00",23,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-03T00:00:00",6,"Behr-US-SaukVillageServiceCenter@behr.com"
"2026-06-03T00:00:00",7,"Behr-US-RoanokeServiceCenter@behr.com"
"2026-06-03T00:00:00",14,"Behr.KT.ServiceCenter@behr.com"
"2026-06-03T00:00:00",2,"Behr-US-AlgonaServiceCenter@behr.com"
"2026-06-03T00:00:00",2,"Behr-CA-TornotoServiceCenter@behr.com"
"2026-06-04T00:00:00",11,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-04T00:00:00",1,"Behr-US-AlgonaServiceCenter@behr.com"
"2026-06-04T00:00:00",9,"Behr.KT.ServiceCenter@behr.com"
"2026-06-04T00:00:00",9,"Behr-US-RoanokeServiceCenter@behr.com"
"2026-06-04T00:00:00",3,"Behr-US-SaukVillageServiceCenter@behr.com"
"2026-06-05T00:00:00",18,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-05T00:00:00",6,"Behr.KT.ServiceCenter@behr.com"
"2026-06-05T00:00:00",3,"Behr-US-SaukVillageServiceCenter@behr.com"
"2026-06-05T00:00:00",3,"Behr-US-RoanokeServiceCenter@behr.com"
"2026-06-05T00:00:00",1,"Behr-US-AlgonaServiceCenter@behr.com"
"2026-06-06T00:00:00",4,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-08T00:00:00",9,"Behr.KT.ServiceCenter@behr.com"
"2026-06-08T00:00:00",1,"Behr-US-RoanokeServiceCenter@behr.com"
"2026-06-08T00:00:00",8,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-08T00:00:00",3,"Behr-US-SaukVillageServiceCenter@behr.com"
"2026-06-09T00:00:00",12,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-09T00:00:00",1,"Behr-US-AlgonaServiceCenter@behr.com"
"2026-06-09T00:00:00",10,"Behr.KT.ServiceCenter@behr.com"
"2026-06-09T00:00:00",5,"Behr-US-SaukVillageServiceCenter@behr.com"
"2026-06-09T00:00:00",2,"Behr-US-RoanokeServiceCenter@behr.com"
"2026-06-10T00:00:00",25,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-10T00:00:00",4,"Behr-US-SaukVillageServiceCenter@behr.com"
"2026-06-10T00:00:00",11,"Behr.KT.ServiceCenter@behr.com"
"2026-06-10T00:00:00",3,"Behr-US-RoanokeServiceCenter@behr.com"
"2026-06-11T00:00:00",20,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-11T00:00:00",10,"Behr-US-SaukVillageServiceCenter@behr.com"
"2026-06-11T00:00:00",7,"Behr.KT.ServiceCenter@behr.com"
"2026-06-11T00:00:00",1,"Behr-US-RoanokeServiceCenter@behr.com"
"2026-06-12T00:00:00",21,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-12T00:00:00",8,"Behr.KT.ServiceCenter@behr.com"
"2026-06-12T00:00:00",2,"Behr-US-SaukVillageServiceCenter@behr.com"
"2026-06-12T00:00:00",1,"Behr-US-HeathServiceCenter@behr.com"
"2026-06-13T00:00:00",4,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-15T00:00:00",19,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-15T00:00:00",8,"Behr.KT.ServiceCenter@behr.com"
"2026-06-15T00:00:00",2,"Behr-US-SaukVillageServiceCenter@behr.com"
"2026-06-16T00:00:00",18,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-16T00:00:00",8,"Behr.KT.ServiceCenter@behr.com"
"2026-06-16T00:00:00",1,"Behr-US-SaukVillageServiceCenter@behr.com"
"2026-06-16T00:00:00",1,"Behr-US-AlgonaServiceCenter@behr.com"
"2026-06-16T00:00:00",1,"Behr-US-AtlantaServiceCenter@behr.com"
"2026-06-17T00:00:00",1,"Behr-US-AlgonaServiceCenter@behr.com"
"2026-06-17T00:00:00",19,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-17T00:00:00",3,"Behr.KT.ServiceCenter@behr.com"
"2026-06-17T00:00:00",1,"Behr-CA-TornotoServiceCenter@behr.com"
"2026-06-17T00:00:00",1,"Behr-US-RoanokeServiceCenter@behr.com"
"2026-06-17T00:00:00",1,"Behr-US-SaukVillageServiceCenter@behr.com"
"2026-06-17T00:00:00",3,"Behr.Orlando.ServiceCenter@behr.com"
"2026-06-18T00:00:00",21,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-18T00:00:00",5,"Behr-US-RoanokeServiceCenter@behr.com"
"2026-06-18T00:00:00",4,"Behr.KT.ServiceCenter@behr.com"
"2026-06-18T00:00:00",1,"Behr-CA-TornotoServiceCenter@behr.com"
"2026-06-18T00:00:00",2,"Behr-US-SaukVillageServiceCenter@behr.com"
"2026-06-19T00:00:00",10,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-19T00:00:00",10,"Behr.KT.ServiceCenter@behr.com"
"2026-06-19T00:00:00",3,"Behr-US-RoanokeServiceCenter@behr.com"
